DEPTH (m),O2 (mg/L)
15.2,3.87419781
15.1,3.92420745
15.1,3.91772205
15.1,3.9088947
15.1,3.99017838
15.1,3.92903547
15.1,3.9438438
15.1,3.80048043
15.1,3.80516433
15.1,3.80808276
15.1,3.81186591
15.1,3.81370344
15.1,3.86050641
15.1,3.8534085
15.1,3.84371643
15.1,3.81838734
15.1,3.78754566
15,3.97868481
15,3.95713887
15,3.93134139
15,4.06447224
15,4.00480656
15,3.91876692
15,3.92705382
15,3.93649368
15,3.88230456
15,3.87744051
15,3.83661852
14.9,3.94719459
14.9,3.93890769
14.9,3.91267785
14.9,3.90586818
14.9,3.90334608
14.9,4.1030964
14.9,2.70433974
14.9,4.04948376
14.9,4.0267128
14.9,4.01637219
14.9,3.96074187
14.9,3.77709696
14.9,3.94142979
14.9,3.81110928
14.9,3.81226224
14.9,3.81391962
14.9,3.9751899
14.9,3.95713887
14.9,3.94351953
14.9,3.93335907
14.9,3.92287434
14.9,3.91444332
14.9,3.90053574
14.9,3.89174442
14.9,3.78505959
14.9,3.78873465
14.9,3.79666125
14.9,3.80815482
14.8,4.03781004
14.8,3.98808864
14.8,3.92089269
14.8,3.78949128
14.7,4.0090581
14.7,3.99940206
14.7,3.96794787
14.7,3.90334608
14.7,3.92701779
14.7,3.92373906
14.7,3.91991988
14.7,3.779547
14.7,3.78199704
14.7,3.78369045
14.7,4.02692898
14.7,3.95576973
14.7,3.98181942
14.7,3.9640206
14.7,3.90694908
14.7,3.79410312
14.7,3.81182988
14.6,4.01781339
14.6,3.98898939
14.6,4.0843608
14.6,3.81402771
14.6,3.81748659
14.5,4.02487527
14.5,3.9034902
14.5,3.91473156
14.5,3.93004431
14.5,3.91757793
14.5,4.15566417
14.5,4.13865801
14.5,4.12194009
14.5,2.72332755
14.5,4.0976919
14.5,4.08699099
14.5,4.07445255
14.5,4.0068963
14.5,3.81582921
14.5,3.81644172
14.5,3.81561303
14.5,4.01010297
14.5,4.00732866
14.5,4.00754484
14.5,4.00743675
14.5,4.00704042
14.5,3.99965427
14.5,3.99414168
14.5,3.80184957
14.4,3.9045711
14.4,3.93458409
14.4,3.92074857
14.4,3.91653306
14.4,3.91404699
14.4,3.91235358
14.4,3.95602194
14.4,3.9568146
14.4,4.17259827
14.4,4.1106627
14.4,4.06241853
14.4,4.0396836
14.4,3.96974937
14.4,3.81680202
14.4,4.00264476
14.4,3.83315964
14.3,4.00275285
14.3,3.97219941
14.3,3.95231085
14.3,3.94460043
14.3,3.93854739
14.3,3.91156092
14.3,3.95649033
14.3,3.95760726
14.3,2.73939693
14.3,4.13836977
14.3,4.12413792
14.3,3.78768978
14.3,3.82033296
14.3,4.03330629
