DEPTH (m),O2 (mg/L)
11.7,4.19421627
11.7,4.22549031
11.7,4.27160871
11.7,4.23428163
11.7,4.24548696
11.7,4.24627962
11.7,4.21255554
11.7,4.1755167
11.7,4.19720676
11.7,4.24638771
11.7,4.22253585
11.7,4.2461355
11.7,4.24919805
11.7,4.2619887
11.7,4.20743928
11.7,4.21295187
11.6,4.37569938
11.6,4.14759345
11.6,4.13375793
11.6,4.13001081
11.6,4.12889388
11.6,4.12547103
11.6,4.12240848
11.6,4.08641451
11.6,4.08349608
11.6,4.08432477
11.6,4.08421668
11.6,4.08446889
11.6,4.08619833
11.6,4.0865226
11.6,4.07308341
11.6,4.07243487
11.6,4.07337165
11.6,4.07369592
11.6,4.07567757
11.6,4.07783937
11.6,4.08140634
11.6,4.09585437
11.6,4.06479651
11.6,4.06948041
11.6,4.06667007
11.6,4.06724655
11.6,4.05478017
11.6,4.05146541
11.6,4.05712212
11.6,4.06367958
11.6,4.06677816
11.6,4.07672244
11.6,4.078596
11.6,4.07888424
11.6,4.07942469
11.6,4.07203854
11.6,4.07373195
11.6,4.07135397
11.6,4.07106573
11.6,4.06389576
11.6,4.06040085
11.6,4.06000452
11.6,4.06303104
11.6,4.06357149
11.6,4.07120985
11.6,4.07041719
11.6,4.06411194
11.6,4.06630977
11.6,4.07120985
11.6,4.07189442
11.6,4.06854363
11.6,4.07737098
11.6,4.07661435
11.6,4.06901202
11.6,4.06785906
11.6,4.06746273
11.6,4.06987674
11.6,4.0688679
11.6,4.06991277
11.6,4.06843554
11.6,4.06735464
11.6,4.06353546
11.6,4.07261502
11.6,4.07077749
11.6,4.07265105
11.6,4.07160618
11.6,4.0703091
11.6,4.28097651
11.6,4.26267327
11.6,4.21626663
11.6,4.10334861
11.6,4.10064636
11.6,4.10107872
11.6,4.0951698
11.6,4.08655863
11.6,4.09318815
11.6,4.09275579
11.6,4.09131459
11.6,4.07892027
11.6,4.07819967
11.6,4.0746327
11.6,4.07556948
11.6,4.07603787
11.6,4.07578566
11.6,4.07423637
11.6,4.07618199
11.6,4.08198282
11.6,4.0847211
11.6,4.08587406
11.6,4.0847211
11.6,4.08270342
11.6,4.08861234
11.6,4.07737098
11.6,4.08515346
11.6,4.08691893
11.6,4.07369592
11.6,4.07625405
11.6,4.07834379
11.6,4.07070543
11.6,4.07229075
11.6,4.07045322
11.6,4.07279517
11.6,4.07492094
11.6,4.07791143
11.6,4.07960484
11.6,4.07164221
11.6,4.07416431
11.6,4.07647023
11.6,4.06231044
11.6,4.06169793
11.6,4.06544505
11.6,4.06749876
11.6,4.06458033
11.6,4.06591344
11.6,4.06616565
11.6,4.06721052
11.6,4.0731915
11.6,4.08511743
11.6,4.08104604
11.6,4.07852394
11.6,4.07423637
11.6,4.08915279
11.6,4.09311609
11.6,4.09855662
11.6,4.10028606
11.6,4.10659131
11.6,4.11145536
11.6,4.12204818
11.6,4.13393808
11.6,4.15526784
11.6,4.2526209
11.6,4.26108795
11.6,4.2522606
11.6,4.22289615
11.6,4.21576221
11.6,4.15977159
11.6,4.15771788
11.6,4.18160577
11.6,4.11437379
11.6,4.17130119
11.6,4.17814689
11.6,4.18398375
11.6,4.19583762
11.6,4.19936856
11.6,4.19951268
11.6,4.20142227
11.6,4.19796339
11.6,4.1964141
11.6,4.19853987
11.6,4.20444879
11.6,4.20498924
11.6,4.2050613
11.6,4.20632235
11.6,4.16967984
11.6,4.19886414
11.6,4.20538557
11.6,4.22098656
11.6,4.20877239
11.6,4.22534619
11.6,4.23330882
11.6,4.24242441
11.6,4.19922444
11.6,4.21259157
11.6,4.21414086
11.6,4.15476342
11.6,4.18149768
11.6,4.20135021
11.6,4.20408849
11.6,4.22159907
11.6,4.23096687
11.6,2.94033624
11.6,2.98350018
11.6,4.66617324
11.6,3.98675553
11.6,4.0378821
11.6,4.2706359
11.6,4.2745992
11.6,4.25427828
11.6,4.2432531
11.6,4.24091115
11.6,4.2403707
11.6,4.2198336
11.6,4.21893285
11.6,4.24736052
11.6,4.20286347
11.6,4.20812385
11.6,4.21507764
11.6,4.34529006
11.6,4.17944397
11.6,4.17645348
11.6,4.17825498
11.6,4.17616524
11.6,4.21500558
11.6,4.219113
11.6,4.20041343
11.6,4.20142227
11.6,4.19464863
11.6,4.18863162
11.6,4.21273569
11.6,4.21850049
11.6,4.22430132
11.6,4.2000171
11.6,4.20091785
11.6,4.25269296
11.6,4.25035101
11.6,4.1747961
11.6,4.20142227
11.6,4.22639106
11.6,4.23993834
11.6,4.20549366
11.6,4.21205112
11.6,4.21287981
11.6,4.2158703
11.6,4.25676435
11.6,4.17782262
11.6,4.20336789
11.6,4.21194303
11.6,4.21471734
11.5,4.6954296
11.5,4.49985876
11.5,4.08378432
11.5,4.08414462
11.5,4.0847211
11.5,4.08850425
11.5,4.03453131
11.5,4.06893996
11.5,4.06807524
11.5,4.06403988
11.5,4.06396782
11.5,4.07092161
11.5,4.053375
11.5,4.06443621
11.5,4.0663458
11.5,4.0656252
11.5,4.06760685
11.5,4.07149809
11.5,4.07063337
11.5,4.07045322
11.5,4.06101336
11.5,4.05971628
11.5,4.06249059
11.5,4.05996849
11.5,4.05982437
11.5,4.05971628
11.5,4.05960819
11.5,4.0602207
11.5,4.06079718
11.5,4.06169793
11.5,4.06522887
11.5,4.06998483
11.5,4.07225472
11.5,4.22902125
11.5,4.16859894
11.5,4.13382999
11.5,4.09927722
11.5,4.0994934
11.5,4.10050224
11.5,4.08663069
11.5,4.08882852
11.5,4.08522552
11.5,4.07704671
11.5,4.07783937
11.5,4.07481285
11.5,4.07524521
11.5,4.07708274
11.5,4.07610993
11.5,4.07668641
11.5,4.0886844
11.5,4.0757136
11.5,4.07045322
11.5,4.06930026
11.5,4.07459667
11.5,4.07942469
11.5,4.07553345
11.5,4.06303104
11.5,4.06151778
11.5,4.06148175
11.5,4.06259868
11.5,4.06292295
11.5,4.06216632
11.5,4.06515681
11.5,4.06602153
11.5,4.06241853
11.5,4.07189442
11.5,4.08403653
11.5,4.08374829
11.5,4.08320784
11.5,4.08169458
11.5,4.07603787
11.5,4.09639482
11.5,4.12990272
11.5,4.26627627
11.5,4.28883105
11.5,4.28998401
11.5,4.26007911
11.5,4.24364943
11.5,4.2090246
11.5,4.16023998
11.5,4.14770154
11.5,4.12096728
11.5,4.16330253
11.5,4.18574922
11.5,4.19933253
11.5,4.2025392
11.5,4.19626998
11.5,4.20524145
11.5,4.20509733
11.5,4.16225766
11.5,4.17162546
11.5,4.16593272
11.5,4.15887084
11.5,4.18946031
11.5,4.21223127
11.5,4.18088517
11.5,4.23741624
11.5,4.12294893
11.5,4.1802006
11.5,4.19324346
11.5,4.13433441
11.5,4.16586066
11.5,4.18722645
11.5,4.71780423
11.5,4.00451832
11.5,4.25312532
11.5,4.2627093
11.5,4.28050812
11.5,4.24202808
11.5,4.2497385
11.5,4.25074734
11.5,4.21958139
11.5,4.23266028
11.5,4.2173115
11.5,4.22318439
11.5,4.26533949
11.5,4.17904764
11.5,4.18066899
11.5,4.19443245
11.5,4.20963711
11.5,4.22037405
11.5,4.18607349
11.5,4.20127815
11.5,4.18791102
11.5,4.24458621
11.5,4.16802246
11.5,4.18621761
11.5,4.20437673
11.5,4.2468561
11.5,4.23619122
11.5,4.19972886
11.5,4.20462894
11.5,4.22249982
11.4,4.98464241
11.4,4.77646107
11.4,4.61764083
11.4,4.55426406
11.4,4.12316511
11.4,4.11988638
11.4,4.11484218
11.4,4.10976195
11.4,4.08284754
11.4,4.08353211
11.4,4.08500934
11.4,4.08598215
11.4,4.05290661
11.4,4.07420034
11.4,4.07365989
11.4,4.07297532
11.4,4.06825539
11.4,4.0656252
11.4,4.06447224
11.4,4.06476048
11.4,4.06097733
11.4,4.06753479
11.4,4.07254296
11.4,4.0656252
11.4,4.05618534
11.4,4.05614931
11.4,4.05380736
11.4,4.05434781
11.4,4.05009627
11.4,4.05434781
11.4,4.05431178
11.4,4.05741036
11.4,4.05741036
11.4,4.06263471
11.4,4.06443621
11.4,4.0638237
11.4,4.067787
11.4,4.06969659
11.4,4.07038116
11.4,4.08010926
11.4,4.07805555
11.4,4.06148175
11.4,4.06465239
11.4,4.06713846
11.4,4.06875981
11.4,4.06908408
11.4,4.06425606
11.4,4.07762319
11.4,4.06360752
11.4,4.05996849
11.4,4.06040085
11.4,4.0602207
11.4,4.06007658
11.4,4.06068909
11.4,4.06241853
11.4,4.05935598
11.4,4.05975231
11.4,4.06004055
11.4,4.06000452
11.4,4.05755448
11.4,4.05892362
11.4,4.06155381
11.4,4.06198617
11.4,4.05903171
11.4,4.06014864
11.4,4.05823905
11.4,4.0659855
11.4,4.05647358
11.4,4.0595001
11.4,4.05957216
11.4,4.06800318
11.4,4.06930026
11.4,4.13310939
11.4,4.10796045
11.4,4.10140299
11.4,4.06393179
11.4,4.06458033
11.4,4.06602153
11.4,4.07063337
11.4,4.0638237
11.4,4.07657832
11.4,4.07452461
11.4,4.07034513
11.4,4.067787
11.4,4.06865172
11.4,4.36031457
11.4,4.20459291
11.4,4.15588035
11.4,4.14460296
11.4,4.11977829
11.4,4.11538263
11.4,4.11149139
11.4,4.11077079
11.4,4.10972592
11.4,4.10742
11.4,4.10785236
11.4,4.10608689
11.4,4.10482584
11.4,4.10396112
11.4,4.1027361
11.4,4.10179932
11.4,4.09635879
11.4,4.09617864
11.4,4.09963752
11.4,4.08529758
11.4,4.08529758
11.4,4.09066605
11.4,4.09044987
11.4,4.08936897
11.4,4.08915279
11.4,4.08799983
11.4,4.08803586
11.4,4.08659466
11.4,4.08522552
11.4,4.07834379
11.4,4.07783937
11.4,4.07729892
11.4,4.07780334
11.4,4.07697465
11.4,4.07524521
11.4,4.07596581
11.4,4.0746327
11.4,4.07315547
11.4,4.07452461
11.4,4.07434446
11.4,4.07780334
11.4,4.08032544
11.4,4.07239884
11.4,4.07910042
11.4,4.08281151
11.4,4.07920851
11.4,4.0825593
11.4,4.08439683
11.4,4.07978499
11.4,4.08007323
11.4,4.0872432
11.4,4.08702702
11.4,4.08742335
11.4,4.08414462
11.4,4.08018132
11.4,4.07956881
11.4,4.07337165
11.4,4.07488491
11.4,4.07855997
11.4,4.07286723
11.4,4.07257899
11.4,4.07084955
11.4,4.0703091
11.4,4.06803921
11.4,4.07884821
11.4,4.07488491
11.4,4.06980468
11.4,4.07167824
11.4,4.07384004
11.4,4.07481285
11.4,4.06573329
11.4,4.06367958
11.4,4.06072512
11.4,4.06292295
11.4,4.06371561
11.4,4.06407591
11.4,4.06360752
11.4,4.06685022
11.4,4.06749876
11.4,4.06663404
11.4,4.07117382
11.4,4.08306372
11.4,4.08659466
11.4,4.08598215
11.4,4.0807578
11.4,4.08014529
11.4,4.07398416
11.4,4.07445255
11.4,4.07625405
11.4,4.07546139
11.4,4.08248724
11.4,4.08266739
11.4,4.08572994
11.4,4.10111475
11.4,4.26134016
11.4,4.25611581
11.4,4.23085878
11.4,4.20491718
11.4,4.19832369
11.4,4.15090821
11.4,4.15818627
11.4,4.15969953
11.4,4.16196942
11.4,4.15180896
11.4,4.15829436
11.4,4.14114408
11.4,4.14528753
11.4,4.15087218
11.4,4.15231338
11.4,4.15724949
11.4,4.1611047
11.4,4.13292924
11.4,4.1888478
11.4,4.19079342
11.4,4.1928111
11.4,4.19562144
11.4,4.20149433
11.4,4.19616189
11.4,4.20498924
11.4,4.204701
11.4,4.20174654
11.4,4.19954871
11.4,4.13123583
11.4,4.16766216
11.4,4.17000411
11.4,4.17166149
11.4,4.16096058
11.4,4.14816993
11.4,4.21723944
11.4,4.22077038
11.4,4.24080306
11.4,4.2436134
11.4,4.13145201
11.4,4.14842214
11.4,4.16377092
11.4,4.172274
11.4,4.14463899
11.4,4.15191705
11.4,4.15897893
11.4,4.16355474
11.4,4.16178927
11.4,4.20416055
11.4,4.2050613
11.4,4.22599473
11.4,4.22152701
11.4,4.22347263
11.4,4.22473368
11.4,4.0223892
11.4,4.18769484
11.4,4.19518908
11.4,4.27467126
11.4,4.28021988
11.4,4.28306625
11.4,4.27993164
11.4,4.27164474
11.4,4.26854616
11.4,4.25683641
11.4,4.25528712
11.4,4.25535918
11.4,4.27924707
11.4,4.27773381
11.4,4.27571613
11.4,4.26285342
11.4,4.24678404
11.4,4.24296486
11.4,4.23957804
11.4,4.24599138
11.4,4.22105862
11.4,4.22109465
11.4,4.22376087
11.4,4.2284808
11.4,4.23024627
11.4,4.22862492
11.4,4.23118305
11.4,4.22945361
11.4,4.23356103
11.4,4.23294852
11.4,4.23150732
11.4,4.22862492
11.4,4.21871667
11.4,4.21850049
11.4,4.21968948
11.4,4.24080306
11.4,4.23871332
11.4,4.21716738
11.4,4.17811086
11.4,4.17670569
11.4,4.17771453
11.4,4.17940794
11.4,4.18618158
11.4,4.20156639
11.4,4.17749835
11.4,4.19118975
11.4,4.19792736
11.4,4.19875605
11.4,4.19803545
11.4,4.18877574
11.4,4.17865131
11.4,4.23914568
11.4,4.21511367
11.4,4.16243781
11.4,4.16276208
11.4,4.17339093
11.4,4.17656157
11.4,4.18074105
11.4,4.18023663
11.4,4.18394772
11.4,4.21331217
11.4,4.23514635
11.4,4.22945361
11.4,4.22484177
11.4,4.21936521
11.4,4.21302393
11.4,4.20628632
11.4,4.20160242
11.4,4.20632235
11.4,4.2104658
11.4,4.26285342
11.4,4.26119604
11.4,4.17721011
11.4,4.21115037
11.4,4.34597463
11.4,4.34824452
11.4,4.33336413
11.3,5.24870628
11.3,4.12093125
11.3,4.11599514
11.3,4.10637513
11.3,4.08299166
11.3,4.08389241
11.3,4.08396447
11.3,4.0512132
11.3,4.07502903
11.3,4.07506506
11.3,4.06465239
11.3,4.06184205
11.3,4.07167824
11.3,4.05859935
11.3,4.05492429
11.3,4.05503238
11.3,4.05254631
11.3,4.05056466
11.3,4.05178968
11.3,4.0566177
11.3,4.053375
11.3,4.05658167
11.3,4.06133763
11.3,4.06364355
11.3,4.06458033
11.3,4.06530093
11.3,4.07618199
11.3,4.06108542
11.3,4.0595001
11.3,4.05996849
11.3,4.06101336
11.3,4.06195014
11.3,4.0623825
11.3,4.07113779
11.3,4.07567757
11.3,4.0616619
11.3,4.06140969
11.3,4.05402354
11.3,4.05470811
11.3,4.05539268
11.3,4.06108542
11.3,4.0602207
11.3,4.05935598
11.3,4.05975231
11.3,4.05942804
11.3,4.05867141
11.3,4.06285089
11.3,4.05928392
11.3,4.05960819
11.3,4.05863538
11.3,4.05917583
11.3,4.06025673
11.3,4.05831111
11.3,4.05791478
11.3,4.05942804
11.3,4.06144572
11.3,4.06000452
11.3,4.05741036
11.3,4.06342737
11.3,4.05560886
11.3,4.06656198
11.3,4.05604122
11.3,4.06839951
11.3,4.15494357
11.3,4.06342737
11.3,4.06339134
11.3,4.06321119
11.3,4.06494063
11.3,4.07178633
11.3,4.07398416
11.3,4.06933629
11.3,4.06548108
11.3,4.06659801
11.3,4.06782303
11.3,4.06699434
11.3,4.06652595
11.3,4.07250693
11.3,4.06901202
11.3,4.32961701
11.3,4.19367582
11.3,4.15051188
11.3,4.13595576
11.3,4.12705635
11.3,4.12392174
11.3,4.12067904
11.3,4.11765252
11.3,4.10230374
11.3,4.10075445
11.3,4.08749541
11.3,4.07928057
11.3,4.07769525
11.3,4.07711877
11.3,4.07657832
11.3,4.07517315
11.3,4.07420034
11.3,4.07517315
11.3,4.07960484
11.3,4.08353211
11.3,4.08666672
11.3,4.07232678
11.3,4.08277548
11.3,4.08299166
11.3,4.08068574
11.3,4.07387607
11.3,4.07376798
11.3,4.07293929
11.3,4.07459667
11.3,4.07077749
11.3,4.07365989
11.3,4.0724709
11.3,4.06443621
11.3,4.06220235
11.3,4.06281486
11.3,4.06054497
11.3,4.06090527
11.3,4.07106573
11.3,4.08551376
11.3,4.08151443
11.3,4.0886844
11.3,4.07520918
11.3,4.08155046
11.3,4.07892027
11.3,4.07683053
11.3,4.07474079
11.3,4.07567757
11.3,4.07614596
11.3,4.07733495
11.3,4.07881218
11.3,4.09333227
11.3,4.19046915
11.3,4.14233307
11.3,4.14608019
11.3,4.15422297
11.3,4.10835678
11.3,4.13037111
11.3,4.13256894
11.3,4.14409854
11.3,4.15116042
11.3,4.15537593
11.3,4.16175324
11.3,4.14442281
11.3,4.15797009
11.3,4.19799942
11.3,4.17050853
11.3,4.16838276
11.3,4.16023998
11.3,4.16892321
11.3,4.14334191
11.3,4.13091156
11.3,4.13217261
11.3,4.1524575
11.3,4.15782597
11.3,4.16604081
11.3,4.16294223
11.3,4.17022029
11.3,4.17303063
11.3,4.22041008
11.3,4.22051817
11.3,4.12936227
11.3,4.15663698
11.3,4.1783991
11.3,4.18549701
11.3,4.20970917
11.3,4.20336789
11.3,4.1193099
11.3,4.13988303
11.3,4.22404911
11.3,2.96296308
11.3,4.28389494
11.3,4.2540621
11.3,4.25755701
11.3,4.24584726
11.3,4.24833333
11.3,4.22170716
11.3,4.21817622
11.3,4.21749165
11.3,4.22858889
11.3,4.23193968
11.3,4.22725578
11.3,4.21835637
11.3,4.23514635
11.3,4.33123836
11.3,4.25456652
11.3,4.24537887
11.3,4.21601442
11.3,4.17782262
11.3,4.16733789
11.3,4.17036441
11.3,4.18394772
11.3,4.19223462
11.3,4.21997772
11.3,4.2115467
11.3,4.20369216
11.3,4.23179556
11.3,4.22109465
11.3,4.21100625
11.3,4.18982061
11.3,4.1733549
11.3,4.16712171
11.3,4.16467167
11.3,4.19547732
11.3,4.19781927
11.3,4.2439737
11.3,4.22073435
11.3,4.21904094
11.3,4.21496955
11.3,4.20956505
11.3,4.255143
11.3,4.34276796
11.2,5.56386069
11.2,5.11020696
11.2,4.45319991
11.2,4.10760015
11.2,4.10918547
11.2,4.10241183
11.2,4.10014194
11.2,4.09279182
11.2,4.09106238
11.2,4.08670275
11.2,4.08565788
11.2,4.08403653
11.2,4.08389241
11.2,4.05863538
11.2,4.0728312
11.2,4.07365989
11.2,4.07412828
11.2,4.06569726
11.2,4.05989643
11.2,4.05683388
11.2,4.0695885
11.2,4.06829142
11.2,4.0922874
11.2,4.0876035
11.2,4.08194679
11.2,4.07034513
11.2,4.06976865
11.2,4.05423972
11.2,4.05463605
11.2,4.05366324
11.2,4.05164556
11.2,4.05211395
11.2,4.05092496
11.2,4.05006024
11.2,4.05233013
11.2,4.05103305
11.2,4.05315882
11.2,4.05380736
11.2,4.05499635
11.2,4.05456399
11.2,4.05449193
11.2,4.05398751
11.2,4.05369927
11.2,4.05391545
11.2,4.05546474
11.2,4.05701403
11.2,4.05845523
11.2,4.05809493
11.2,4.06508475
11.2,4.0681473
11.2,4.06757082
11.2,4.06162587
11.2,4.06007658
11.2,4.05906774
11.2,4.05849126
11.2,4.06195014
11.2,4.06555314
11.2,4.07286723
11.2,4.06270677
11.2,4.060581
11.2,4.06018467
11.2,4.06000452
11.2,4.05989643
11.2,4.05777066
11.2,4.05550077
11.2,4.05366324
11.2,4.05413163
11.2,4.05978834
11.2,4.06144572
11.2,4.06256265
11.2,4.06342737
11.2,4.06295898
11.2,4.06072512
11.2,4.06032879
11.2,4.05982437
11.2,4.05989643
11.2,4.06061703
11.2,4.06025673
11.2,4.05924789
11.2,4.06050894
11.2,4.05856332
11.2,4.05582504
11.2,4.05679785
11.2,4.06299501
11.2,4.06220235
11.2,4.06068909
11.2,4.05989643
11.2,4.05910377
11.2,4.0587795
11.2,4.05524856
11.2,4.05787875
11.2,4.05982437
11.2,4.06097733
11.2,4.06101336
11.2,4.06122954
11.2,4.06068909
11.2,4.05777066
11.2,4.05723021
11.2,4.0576986
11.2,4.05942804
11.2,4.06180602
11.2,4.06483254
11.2,4.06443621
11.2,4.06443621
11.2,4.05488826
11.2,4.05485223
11.2,4.05676182
11.2,4.05679785
11.2,4.05715815
11.2,4.06353546
11.2,4.06522887
11.2,4.06558917
11.2,4.05820302
11.2,4.05751845
11.2,4.05867141
11.2,4.16942763
11.2,4.14355809
11.2,4.12320114
11.2,4.11541866
11.2,4.09718748
11.2,4.09044987
11.2,4.0879638
11.2,4.06367958
11.2,4.07301135
11.2,4.06263471
11.2,4.06227441
11.2,4.07038116
11.2,4.06955247
11.2,4.07045322
11.2,4.06951644
11.2,4.06609359
11.2,4.06746273
11.2,4.06818333
11.2,4.06962453
11.2,4.06612962
11.2,4.0735518
11.2,4.06944438
11.2,4.30338717
11.2,4.18470435
11.2,4.14081981
11.2,4.0991331
11.2,4.09700733
11.2,4.09725954
11.2,4.09441317
11.2,4.08720717
11.2,4.08785571
11.2,4.0847211
11.2,4.0811181
11.2,4.08108207
11.2,4.07920851
11.2,4.08097398
11.2,4.0800372
11.2,4.07920851
11.2,4.07852394
11.2,4.07755113
11.2,4.07582169
11.2,4.07528124
11.2,4.07538933
11.2,4.08064971
11.2,4.08028941
11.2,4.07610993
11.2,4.07045322
11.2,4.07157015
11.2,4.08699099
11.2,4.07200251
11.2,4.07441652
11.2,4.08659466
11.2,4.0825593
11.2,4.07733495
11.2,4.07621802
11.2,4.07423637
11.2,4.07326356
11.2,4.07376798
11.2,4.07250693
11.2,4.07452461
11.2,4.07928057
11.2,4.07737098
11.2,4.07203854
11.2,4.07290326
11.2,4.06796715
11.2,4.07863203
11.2,4.07762319
11.2,4.06883187
11.2,4.06987674
11.2,4.0652649
11.2,4.06285089
11.2,4.06216632
11.2,4.06223838
11.2,4.06144572
11.2,4.06252662
11.2,4.06047291
11.2,4.0584192
11.2,4.06692228
11.2,4.07636214
11.2,4.07459667
11.2,4.08634245
11.2,4.08457698
11.2,4.08562185
11.2,4.06569726
11.2,4.07232678
11.2,4.07387607
11.2,4.0775151
11.2,4.08032544
11.2,4.07924454
11.2,4.07686656
11.2,4.0753533
11.2,4.07441652
11.2,4.07434446
11.2,4.07693862
11.2,4.07982102
11.2,4.08446889
11.2,4.0850814
11.2,4.18301094
11.2,4.14031539
11.2,4.14435075
11.2,4.1632665
11.2,4.1575017
11.2,4.15458327
11.2,4.14132423
11.2,4.14074775
11.2,4.16132088
11.2,4.15537593
11.2,4.14172056
11.2,4.14085584
11.2,4.14074775
11.2,4.18250652
11.2,4.10233977
11.2,4.10399715
11.2,4.11195978
11.2,4.12561515
11.2,4.13282115
11.2,4.13501898
11.2,4.14132423
11.2,4.14744933
11.2,4.15840245
11.2,4.15274574
11.2,4.14932289
11.2,4.13905434
11.2,4.15105233
11.2,4.20275538
11.2,4.20235905
11.2,4.19774721
11.2,4.19515305
11.2,4.18625364
11.2,4.18376757
11.2,4.15933923
11.2,4.16279811
11.2,4.16917542
11.2,4.13044317
11.2,4.14345
11.2,4.14179262
11.2,4.14809787
11.2,4.17184164
11.2,4.17202179
11.2,4.17249018
11.2,4.15696125
11.2,4.13847786
11.2,4.17032838
11.2,4.21576221
11.2,4.22131083
11.2,4.1992965
11.2,4.1520972
11.2,4.15681713
11.2,4.16099661
11.2,4.18636173
11.2,4.20790767
11.2,4.21136655
11.2,4.21475337
11.2,4.22790432
11.2,4.12475043
11.2,4.12493058
11.2,4.14017127
11.2,4.17238209
11.2,4.18430802
11.2,4.18863162
11.2,4.19014488
11.2,4.15663698
11.2,4.1618253
11.2,4.16438343
11.2,4.12965051
11.2,4.14593607
11.2,4.16910336
11.2,4.17573288
11.2,4.20232302
11.2,4.78110894
11.2,4.07326356
11.2,4.2825258
11.2,4.27733748
11.2,4.26386226
11.2,4.2594666
11.2,4.25798937
11.2,4.269555
11.2,4.25099955
11.2,4.24797303
11.2,4.23766845
11.2,4.23089481
11.2,4.22574252
11.2,4.22480574
11.2,4.2180321
11.2,4.22267997
11.2,4.22923743
11.2,4.23179556
11.2,4.23049848
11.2,4.22898522
11.2,4.22801241
11.2,4.23287646
11.2,4.22203143
11.2,4.21965345
11.2,4.19969283
11.2,4.3171146
11.2,4.30144155
11.2,4.28666925
11.2,4.22314836
11.2,4.21140258
11.2,4.17569685
11.2,4.21367247
11.2,4.18805514
11.2,4.16913939
11.2,4.16715774
11.2,4.17292254
11.2,4.16704965
11.2,4.17040044
11.2,4.17162546
11.2,4.22549031
11.2,4.22390499
11.2,4.21417689
11.2,4.20408849
11.2,4.17749835
11.2,4.17393138
11.2,4.22480574
11.2,4.18510068
11.2,4.17194973
11.2,4.1647077
11.2,4.16348268
11.2,4.16838276
11.2,4.1834433
11.2,4.18679409
11.2,4.1917302
11.2,4.19165814
11.2,4.1956935
11.2,4.24152366
11.2,4.24599138
11.2,4.23990231
11.2,4.23114702
11.1,4.87511121
11.1,4.11833709
11.1,4.11228405
11.1,4.10720382
11.1,4.10298831
11.1,4.1027361
11.1,4.10284419
11.1,4.10025003
11.1,4.093008
11.1,4.08987339
11.1,4.08872043
11.1,4.08745938
11.1,4.08374829
11.1,4.08490125
11.1,4.04818668
11.1,4.05499635
11.1,4.07729892
11.1,4.07726289
11.1,4.07135397
11.1,4.07848791
11.1,4.06158984
11.1,4.05813096
11.1,4.05723021
11.1,4.05658167
11.1,4.05315882
11.1,4.05427575
11.1,4.05124923
11.1,4.05114114
11.1,4.05006024
11.1,4.05074481
11.1,4.05413163
11.1,4.05333897
11.1,4.05467208
11.1,4.05636549
11.1,4.0587795
11.1,4.05859935
11.1,4.05787875
11.1,4.06295898
11.1,4.06151778
11.1,4.06645389
11.1,4.06674213
11.1,4.0656252
11.1,4.06789509
11.1,4.07315547
11.1,4.06040085
11.1,4.05921186
11.1,4.06050894
11.1,4.06000452
11.1,4.07193045
11.1,4.06793112
11.1,4.07448858
11.1,4.05676182
11.1,4.05996849
11.1,4.06036482
11.1,4.06076115
11.1,4.06036482
11.1,4.06011261
11.1,4.06079718
11.1,4.05946407
11.1,4.06025673
11.1,4.06086924
11.1,4.06079718
11.1,4.05892362
11.1,4.06029276
11.1,4.05751845
11.1,4.05708609
11.1,4.05575298
11.1,4.05795081
11.1,4.06112145
11.1,4.06126557
11.1,4.06144572
11.1,4.06104939
11.1,4.06047291
11.1,4.05996849
11.1,4.06011261
11.1,4.05723021
11.1,4.05665373
11.1,4.05485223
11.1,4.05485223
11.1,4.05463605
11.1,4.05499635
11.1,4.05514047
11.1,4.05542871
11.1,4.05748242
11.1,4.06133763
11.1,4.06645389
11.1,4.06847157
11.1,4.06710243
11.1,4.06317516
11.1,4.16222163
11.1,4.12849755
11.1,4.09466538
11.1,4.08320784
11.1,4.07992911
11.1,4.07765922
11.1,4.07852394
11.1,4.07632611
11.1,4.07524521
11.1,4.07506506
11.1,4.08176664
11.1,4.07917248
11.1,4.0782357
11.1,4.07157015
11.1,4.07005689
11.1,4.08558582
11.1,4.07560551
11.1,4.07268708
11.1,4.07272311
11.1,4.07477682
11.1,4.07326356
11.1,4.07434446
11.1,4.07128191
11.1,4.07297532
11.1,4.06847157
11.1,4.07737098
11.1,4.06594947
11.1,4.06043688
11.1,4.06148175
11.1,4.06054497
11.1,4.05953613
11.1,4.06767891
11.1,4.06522887
11.1,4.05910377
11.1,4.06998483
11.1,4.0656252
11.1,4.0670664
11.1,4.07693862
11.1,4.08046956
11.1,4.07884821
11.1,4.0775151
11.1,4.07830776
11.1,4.0753533
11.1,4.19410818
11.1,4.12993875
11.1,4.14863832
11.1,4.15382664
11.1,4.15656492
11.1,4.16341062
11.1,4.16060028
11.1,4.16240178
11.1,4.15977159
11.1,4.1852448
11.1,4.09924119
11.1,4.12813725
11.1,4.13728887
11.1,4.19320743
11.1,4.17555273
11.1,4.15861863
11.1,4.15476342
11.1,4.15609653
11.1,4.15915908
11.1,4.13282115
11.1,4.13534325
11.1,4.17591303
11.1,4.15094424
11.1,4.21774386
11.1,4.21424895
11.1,4.20250317
11.1,4.14089187
11.1,4.14254925
11.1,4.1448912
11.1,4.14842214
11.1,4.1647077
11.1,4.16870703
11.1,4.17537258
11.1,4.23831699
11.1,4.12846152
11.1,4.1128245
11.1,4.11397746
11.1,4.11905769
